# time [BJD], relative flux, relative flux error
2.459144520250719041e+06,1.004304992527399021e+00,1.494974558122299201e-02
2.459144527195346542e+06,1.007695862330163949e+00,1.495202473934862525e-02
2.459144534139974043e+06,1.008208508438467321e+00,1.495706734731488095e-02
2.459144541084601544e+06,1.007300255431252234e+00,1.495682936397108205e-02
2.459144548029229045e+06,9.331097083344668253e-01,1.493479679221932158e-02
2.459144554973856546e+06,1.071025315942263356e+00,1.499895018640940055e-02
2.459144561918483581e+06,9.819511460646391798e-01,1.493325007998905392e-02
2.459144568863110617e+06,9.782265946992482197e-01,1.497090442337559689e-02
2.459144575807737652e+06,9.884490243931711717e-01,1.493794238539535024e-02
2.459144582752364688e+06,1.050011779578204019e+00,1.498541290642198959e-02
2.459144589696991257e+06,9.539193629166166088e-01,1.491490063682332327e-02
2.459144596641617827e+06,9.809159330252402720e-01,1.493936931415014609e-02
2.459144617475497071e+06,1.004996018284910919e+00,1.495124980490688572e-02
2.459144624420123175e+06,9.959227255725799921e-01,1.495451072666132211e-02
2.459144631364749279e+06,1.014376928178367221e+00,1.495367015204181020e-02
2.459144638309374917e+06,9.698088312034843783e-01,1.493622292472937714e-02
2.459144645254000556e+06,9.304451261470469969e-01,1.493138972117377498e-02
2.459144652198626194e+06,9.779426611893475840e-01,1.493880230177181689e-02
2.459144659143251833e+06,1.028012167840571811e+00,1.497432223356304042e-02
2.459144666087877005e+06,9.652622852233032624e-01,1.492996106744471675e-02
2.459144673032502644e+06,9.565435095199923410e-01,1.494263825399273771e-02
2.459144679977127817e+06,9.596206757807244081e-01,1.494857760715101978e-02
2.459144686921752524e+06,9.610413861639941491e-01,1.493834974230574299e-02
2.459144693866377696e+06,1.013383574065643833e+00,1.496436597795146491e-02
2.459144700811002403e+06,9.950990741948639862e-01,1.494388239413795526e-02
2.459144707755627111e+06,9.898014630045217643e-01,1.494288226158036262e-02
2.459144714700251352e+06,1.017802399175452122e+00,1.496044602429258234e-02
2.459144721644875593e+06,9.811115294374677109e-01,1.495702785074851625e-02
2.459144728589500301e+06,1.004825157443898664e+00,1.495921638928631066e-02
2.459144735534124076e+06,9.947400885805585125e-01,1.494480593489282659e-02
2.459144742478748318e+06,9.490324494570616665e-01,1.491140374399253961e-02
2.459144749423372094e+06,9.337767624448923831e-01,1.493880246111775958e-02
2.459144756367995869e+06,9.826868888134420166e-01,1.492781353009432245e-02
2.459144763312619179e+06,1.019748904992292982e+00,1.496231356687095608e-02
2.459144770257242955e+06,1.000378648541551341e+00,1.495074003804153576e-02
2.459144777201866265e+06,1.012787530006435510e+00,1.495260585373173537e-02
2.459144784146489110e+06,1.006057406515140196e+00,1.492454768661504415e-02
2.459144791091112420e+06,9.757917914293235961e-01,1.491951982779855974e-02
2.459144798035735264e+06,9.947517344202752021e-01,1.494656862350211314e-02
2.459144804980358109e+06,9.647316155459120246e-01,1.490378784819683909e-02
2.459144811924980953e+06,9.772879885442127268e-01,1.493800578514870719e-02
2.459144818869603332e+06,1.023060249043181269e+00,1.495716658333960322e-02
2.459144825814225711e+06,1.021512767425443391e+00,1.495737878215259650e-02
2.459144832758848090e+06,1.011156554241426475e+00,1.494834273853874393e-02
2.459144839703470469e+06,9.957750046567198643e-01,1.495169985017833804e-02
2.459144846648092382e+06,1.008959678722343600e+00,1.494947120716295583e-02
2.459144853592714295e+06,1.058029884755959715e+00,1.497655414903372589e-02
2.459144860537335742e+06,1.028119954590575036e+00,1.496688537941698663e-02
2.459144867481957655e+06,1.025252408662610026e+00,1.496933948244625300e-02
2.459144874426579103e+06,9.810141638176692602e-01,1.493237311283476289e-02
2.459144881371200550e+06,1.010424520967362350e+00,1.497608098183156322e-02
2.459144888315821998e+06,9.572222522658564436e-01,1.492935989860825000e-02
2.459144895260442980e+06,1.027706752228884968e+00,1.496650714468437775e-02
2.459144902205063961e+06,1.020802816547136338e+00,1.493995343752319363e-02
2.459144909149684478e+06,1.042580235771862762e+00,1.497767910159541679e-02
2.459144916094305459e+06,1.005888215882916326e+00,1.495433790228615015e-02
2.459144923038925976e+06,1.008782880569685014e+00,1.493233872116372755e-02
2.459144929983546492e+06,9.173275318875884210e-01,1.488060745845626309e-02
2.459144936928167008e+06,9.693667669426282441e-01,1.495144268657389378e-02
2.459144943872787058e+06,9.762772229533742685e-01,1.492860878980828074e-02
2.459144950817407109e+06,1.023398963449836829e+00,1.495442169119668221e-02
2.459144957762027159e+06,9.816264171722572929e-01,1.493449950251763032e-02
2.459144964706646744e+06,9.800474905100834411e-01,1.493306309358539107e-02
2.459144971651266329e+06,9.732917063615003084e-01,1.493374496237631112e-02
2.459144978595885914e+06,9.452012273658187969e-01,1.488809426956786558e-02
2.459144985540505499e+06,9.651216663667301354e-01,1.493341266692949608e-02
2.459144992485124618e+06,1.029498073813702508e+00,1.497850517749173965e-02
2.459144999429744203e+06,1.006798844108668600e+00,1.495722900606807383e-02
2.459145006374362856e+06,9.929040238878612534e-01,1.493509808175365675e-02
2.459145013318981975e+06,1.033609567341410518e+00,1.495502215502456447e-02
2.459145020263600629e+06,1.037764584221924746e+00,1.496447148200178226e-02
2.459145027208219282e+06,1.006307415706378716e+00,1.493976957561895906e-02
2.459145034152837936e+06,9.598466764310872312e-01,1.492013088473237957e-02
2.459145041097456124e+06,9.753311527556536298e-01,1.493014488197663345e-02
2.459145048042074312e+06,9.772716598013487799e-01,1.491389516058969425e-02
2.459145054986692499e+06,9.808992964254257263e-01,1.493657549155767532e-02
2.459145061931310687e+06,9.975559921906279603e-01,1.495985720755862308e-02
2.459145068875928409e+06,9.892101626402673986e-01,1.493626746373171409e-02
2.459145075820546132e+06,1.039843394065378401e+00,1.495464419407935980e-02
2.459145082765163854e+06,9.526290200689824239e-01,1.492277134446939185e-02
2.459145089709781110e+06,1.005450593774098511e+00,1.496169304660780776e-02
2.459145096654398367e+06,9.715668885746909789e-01,1.492815638305230660e-02
2.459145103599015623e+06,1.000436397560346746e+00,1.494815573340127143e-02
2.459145110543632880e+06,9.835385681882135023e-01,1.494061956871469039e-02
2.459145117488249671e+06,1.043303466836841498e+00,1.496903171582437790e-02
2.459145124432866462e+06,9.903750828745589985e-01,1.492270788721276366e-02
2.459145131377483252e+06,9.804049239308449959e-01,1.493038794877982883e-02
2.459145138322100043e+06,9.940595337978413992e-01,1.494170493391139797e-02
2.459145145266716368e+06,1.043329547868858453e+00,1.496325076694063685e-02
2.459145152211332694e+06,1.034209204201988141e+00,1.496157665029825001e-02
2.459145159155949019e+06,9.837036911546389595e-01,1.494363795057399025e-02
2.459145166100564878e+06,1.053778271946627543e+00,1.495916490490350505e-02
2.459145173045180738e+06,9.939839847471733103e-01,1.493057716858819071e-02
2.459145179989797063e+06,1.005670048033536546e+00,1.495326558246482147e-02
2.459145186934412457e+06,1.027659978698861831e+00,1.495382808814749512e-02
2.459145193879027851e+06,1.022859236944853034e+00,1.494492676871179114e-02
2.459145200823643245e+06,9.800143906230476265e-01,1.493472607376367459e-02
2.459145207768258639e+06,1.083667182231031312e+00,1.496591461106983913e-02
2.459145214712874033e+06,1.015965603436476350e+00,1.496018152259765734e-02
2.459145221657488961e+06,1.007592638374646521e+00,1.492959486155267905e-02
2.459145228602103889e+06,9.712807826241324216e-01,1.492248166130527229e-02
2.459145235546718817e+06,1.004048102658909425e+00,1.492601238614214322e-02
2.459145242491333745e+06,9.944562320708519865e-01,1.498805709973908239e-02
2.459145249435948208e+06,9.689629706690972011e-01,1.492062776045281411e-02
2.459145256380562671e+06,9.956364114624185468e-01,1.494866972302874748e-02
2.459145263325176667e+06,9.396557868689364712e-01,1.491139926865620545e-02
2.459145270269791130e+06,9.873179580978097558e-01,1.492855742392664060e-02
2.459145277214405127e+06,9.897317982093880584e-01,1.492234281700740607e-02
2.459145284159019124e+06,9.804085880238546657e-01,1.491416304766614472e-02
2.459145291103633121e+06,1.000913394420654301e+00,1.492800570608525910e-02
2.459145298048246652e+06,1.050194625234202039e+00,1.497024583717003303e-02
2.459145304992860183e+06,9.236114105391651785e-01,1.490929337787077862e-02
2.459145311937473714e+06,1.009397852391059391e+00,1.494338466506037709e-02
2.459145318882086780e+06,9.936723539197310773e-01,1.493063088713687814e-02
2.459145325826699845e+06,1.045147249482419216e+00,1.497708983385072010e-02
2.459145332771313377e+06,9.718118993563814589e-01,1.492370885793879200e-02
2.459145339715926442e+06,1.040379413638238493e+00,1.496501429317321358e-02
2.459145346660539042e+06,9.784864001177903114e-01,1.491182915928889775e-02
2.459145353605151642e+06,1.040660784293899743e+00,1.497022711965843161e-02
2.459145360549764242e+06,9.341394317455720131e-01,1.492233773844236014e-02
2.459145367494376842e+06,9.853044826226720065e-01,1.493032577758490395e-02
2.459145374438988976e+06,9.830177520126698321e-01,1.493097701074277972e-02
2.459145381383601576e+06,1.021025644131367649e+00,1.493883027715240883e-02
2.459145388328213710e+06,9.857841862636261832e-01,1.493693510812971192e-02
2.459145395272825379e+06,9.958479757234345309e-01,1.493890661208802269e-02
2.459145402217437513e+06,9.883579840557673579e-01,1.493706094430393393e-02
2.459145409162049182e+06,9.822678638922403005e-01,1.494089161097816171e-02
2.459145416106660850e+06,1.010282276559339776e+00,1.493706202552270122e-02
2.459145423051272519e+06,1.006047864282025639e+00,1.493538164970596369e-02
2.459145429995883722e+06,9.498454359871497665e-01,1.490839290821188018e-02
2.459145436940495390e+06,1.028607078659798058e+00,1.494841626168756654e-02
2.459145443885106128e+06,9.794042352116696382e-01,1.491962668985165504e-02
2.459145450829717331e+06,9.559546365810701607e-01,1.491992422200004616e-02
2.459145457774328068e+06,9.653186011108634279e-01,1.491473690145023352e-02
2.459145464718939271e+06,1.013737891397024082e+00,1.492079054297607704e-02
2.459145471663549542e+06,9.808682595975323215e-01,1.492288797754652042e-02
2.459145478608160280e+06,9.661740760701945652e-01,1.489992499915696218e-02
2.459145485552771017e+06,9.843441207061902620e-01,1.492341242206174888e-02
2.459145492497381289e+06,9.891705961431999095e-01,1.492784095685140838e-02
2.459145499441991560e+06,9.990927894567122047e-01,1.493151363477352583e-02
2.459145506386601366e+06,9.736678182002727056e-01,1.490439224018666117e-02
2.459145513331211638e+06,1.012454721388712953e+00,1.492376419661383888e-02
2.459145520275821444e+06,1.054802478939894206e+00,1.497166366729679211e-02
2.459145527220431250e+06,1.023909622713343959e+00,1.494822658600371106e-02
2.459145534165040590e+06,1.039677159652029781e+00,1.494493643932648039e-02
2.459145541109650396e+06,1.004240757303702658e+00,1.493557116784904361e-02
2.459145548054260202e+06,1.035018054920303188e+00,1.494451643983213222e-02
2.459145554998869076e+06,9.573548842833143890e-01,1.491094983827516429e-02
2.459145561943478417e+06,9.709699312790848191e-01,1.491483451016522785e-02
2.459145568888087291e+06,1.077702125897048946e+00,1.498489276160987725e-02
2.459145575832696632e+06,9.585532273147787663e-01,1.493773503793419978e-02
2.459145582777305041e+06,9.577112986472804401e-01,1.490862958351522882e-02
2.459145589721913915e+06,1.006582282845225329e+00,1.494164263451416667e-02
2.459145596666522790e+06,1.040547910949762622e+00,1.495378812540599893e-02
2.459145603611131199e+06,1.002968914862147232e+00,1.494040020018709038e-02
2.459145610555739608e+06,9.785140703237859006e-01,1.493527394576979125e-02
2.459145617500348017e+06,9.493907216062269505e-01,1.492189344489595372e-02
2.459145624444955960e+06,1.006948209735362809e+00,1.492024924523630350e-02
2.459145631389563903e+06,1.018998118822505017e+00,1.493937136730666936e-02
2.459145638334171847e+06,1.000905434518922776e+00,1.493967540453790439e-02
2.459145645278779790e+06,1.038237291512976501e+00,1.495157973368855565e-02
2.459145652223387733e+06,1.042823420036522730e+00,1.496476079594676913e-02
2.459145659167995211e+06,1.005665771939010744e+00,1.493494807436039455e-02
2.459145666112602688e+06,9.800462487354041352e-01,1.492986266353059192e-02
2.459145673057210166e+06,9.954575264483565000e-01,1.494110870204995792e-02
2.459145680001817178e+06,9.543927248807417829e-01,1.491153371375546384e-02
2.459145686946424656e+06,9.654003668407519223e-01,1.491479178010699652e-02
2.459145693891031668e+06,9.847211003671048068e-01,1.494065738147611587e-02
2.459145700835638680e+06,9.006199235526742841e-01,1.487290724486809226e-02
2.459145707780245226e+06,1.063919902549334662e+00,1.497027224074187757e-02
2.459145714724852238e+06,1.037933999245281624e+00,1.495188260527638598e-02
2.459145721669458784e+06,9.942644093011773210e-01,1.494196762938385277e-02
2.459145728614065330e+06,9.740293719156635222e-01,1.492821125078352962e-02
2.459145735558671411e+06,9.652964514932323992e-01,1.491148938866947680e-02
2.459145742503277957e+06,9.842431506315957312e-01,1.491467029527464294e-02
2.459145749447884038e+06,9.615676830291277621e-01,1.492126053353341059e-02
2.459145756392490119e+06,1.022025089504140949e+00,1.496140603640752111e-02
2.459145763337096199e+06,9.756066240403629131e-01,1.494285401511113477e-02
2.459145770281701814e+06,1.004561787139261142e+00,1.492838561559242487e-02
2.459145777226307429e+06,9.362530536745403698e-01,1.490920402537870663e-02
2.459145784170913510e+06,9.626045277671118061e-01,1.491304912063993321e-02
2.459145791115518659e+06,9.764556541213239571e-01,1.492447616390867905e-02
2.459145798060124274e+06,9.740568565302104576e-01,1.494076691792859193e-02
2.459145805004729424e+06,9.752310024683404910e-01,1.492214214504843268e-02
2.459145811949334573e+06,9.825585350948535801e-01,1.492978716219757820e-02
2.459145818893939722e+06,9.911499082018890849e-01,1.493154020726606725e-02
2.459145825838544872e+06,9.891771475271691205e-01,1.492149247686637772e-02
2.459145832783149555e+06,1.000101346484707943e+00,1.494389672713566583e-02
2.459145839727754239e+06,1.007771422841697184e+00,1.494529029046868032e-02
2.459145846672358923e+06,9.818796514175275325e-01,1.492960622889535557e-02
2.459145853616963606e+06,9.683112453202559200e-01,1.492677332448792520e-02
2.459145860561568290e+06,9.888578428094415562e-01,1.492562004420766759e-02
2.459145867506172508e+06,1.000166119996232839e+00,1.493482963886402781e-02
2.459145874450776726e+06,1.058121955803836389e+00,1.494558518583070927e-02
2.459145881395380944e+06,1.044414356196625704e+00,1.493987962819860911e-02
2.459145888339984696e+06,9.762091553530178878e-01,1.492758405829348878e-02
2.459145895284588914e+06,9.275244355560490206e-01,1.489407808715553609e-02
2.459145902229192667e+06,9.865169182052556662e-01,1.489989073586649344e-02
2.459145909173796419e+06,9.753639810928518283e-01,1.494150925709556918e-02
2.459145916118400171e+06,9.951196106938982044e-01,1.493241470461392599e-02
2.459145923063003458e+06,9.371246525899169511e-01,1.490586564929110604e-02
2.459145930007606745e+06,1.000015922634324372e+00,1.493041831692317779e-02
2.459145936952210031e+06,1.000255997449800649e+00,1.492305320462885415e-02
2.459145943896813318e+06,1.034463814004217053e+00,1.492511217567747336e-02
