# time [BJD], relative flux, relative flux error
2.459144520250719041e+06,1.004304992527399021e+00,1.494974558122299201e-02,1.017855014347669673e+00,2.136024352261040038e-02,1.363143568292849883e+00,-8.774624797870840265e-01,1.009711671043216796e+00,8.348177962444678886e-04
2.459144527195346542e+06,1.007695862330163949e+00,1.495202473934862525e-02,9.818806539149537160e-01,2.130840060911420863e-02,2.479316131899287790e+00,-8.743573745664938723e-01,1.009897887219793677e+00,8.346095139165795847e-04
2.459144534139974043e+06,1.008208508438467321e+00,1.495706734731488095e-02,9.759098006222834965e-01,2.129425698715495946e-02,8.361825086317129507e-01,-8.742369618366147010e-01,1.009732267232275271e+00,8.346171649612119624e-04
2.459144541084601544e+06,1.007300255431252234e+00,1.495682936397108205e-02,1.024645990222556646e+00,2.140072591442585687e-02,-1.478200137334197084e+00,-8.796331637168406381e-01,1.009575823065028688e+00,8.350654720672181760e-04
2.459144548029229045e+06,9.331097083344668253e-01,1.493479679221932158e-02,1.010054955427714951e+00,2.133537237380782672e-02,8.944731252544588784e-01,-8.762247126192500568e-01,1.013378528334371698e+00,8.359984833086913682e-04
2.459144554973856546e+06,1.071025315942263356e+00,1.499895018640940055e-02,1.025683624865812549e+00,2.137560106244908859e-02,1.289796562257824464e+00,-8.772922807910883414e-01,1.009825860633427608e+00,8.351533386984687311e-04
2.459144561918483581e+06,9.819511460646391798e-01,1.493325007998905392e-02,1.008576285317039245e+00,2.138056701687299915e-02,-1.618004567444229380e+00,-8.794470741053014295e-01,1.008324881289305086e+00,8.343156453854609720e-04
2.459144568863110617e+06,9.782265946992482197e-01,1.497090442337559689e-02,9.869172912096603190e-01,2.136623085092800856e-02,2.196570321442210982e+00,-8.761729189790479211e-01,1.015208905056486310e+00,8.368188426557100984e-04
2.459144575807737652e+06,9.884490243931711717e-01,1.493794238539535024e-02,9.303107205935439161e-01,2.136024981522560706e-02,-2.518597345680360922e-02,-8.776119792164949196e-01,1.012179075139949980e+00,8.354287178060632165e-04
2.459144582752364688e+06,1.050011779578204019e+00,1.498541290642198959e-02,9.601863139354799292e-01,2.136280797876981274e-02,-3.214295898308244581e+00,-8.786826352495427095e-01,1.008325539137756133e+00,8.346046483709747147e-04
2.459144589696991257e+06,9.539193629166166088e-01,1.491490063682332327e-02,9.846762700318035799e-01,2.134170015798145248e-02,-5.375277096159443158e-01,-8.761209506508961242e-01,1.008910673222453314e+00,8.340270419984804201e-04
2.459144596641617827e+06,9.809159330252402720e-01,1.493936931415014609e-02,1.024479301520371255e+00,2.137496605194378133e-02,1.221817923179524978e+00,-8.756116915476939155e-01,1.009585833399464949e+00,8.345839756519600082e-04
