,Unnamed: 0,index,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Ext. catalog/s,Sector
18,18,146,30851,SN 2018hzh,04:07:12.870,-37:03:10.44,SN Ia,0.035,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ASAS-SN,ATLAS; GaiaAlerts,ATLAS18yik,"ATLAS1 - ACAM1, Gaia - Gaia-photometric",SALT - RSS,1,1,,17.754,orange-ATLAS,2018-11-05 12:48:57.000,ATLAS_Bot1,,,4
32,32,277,66600,SN 2020tld,00:29:41.590,-51:32:09.60,SN Ia,0.011201,ESO 194- G 021,0.011201,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",Global SN Project,ASAS-SN; GaiaAlerts,ASASSN-20ls,"ASASSN-5 - Payne-Gaposchkin, Gaia - Gaia-photometric",FTS - FLOYDS-S,1,1,,17.0,g-Sloan,2020-09-15 23:45:36.000,Stanek,,,29
