# time [BJD], relative flux, relative flux error
2.459088250678698532e+06,9.919354264106857721e-01,7.409020008526379791e-03
2.459088257623187266e+06,1.012884652481624848e+00,7.430707556791421933e-03
2.459088264567676000e+06,1.010869176297904293e+00,7.433708770594248810e-03
2.459088271512163803e+06,9.615044722709261693e-01,7.406660449065381041e-03
2.459088278456651606e+06,9.899764440577805136e-01,7.415503739538163719e-03
2.459088285401138943e+06,9.953280304638177922e-01,7.412442765336880665e-03
2.459088292345626280e+06,9.644878148508556626e-01,7.402150170329776895e-03
2.459088299290113151e+06,9.885914336981288519e-01,7.418433664203464249e-03
2.459088306234599557e+06,1.003182089584589542e+00,7.422737268657581856e-03
2.459088313179085497e+06,9.862611286454319171e-01,7.415120853665440291e-03
2.459088320123570971e+06,9.609009706549310748e-01,7.401526201736938204e-03
2.459088327068056446e+06,1.017236662007984238e+00,7.433391450916057228e-03
2.459088334012541454e+06,9.827428888287614850e-01,7.410825295609541410e-03
2.459088340957025997e+06,9.841719273968474457e-01,7.416530327666201634e-03
2.459088347901510540e+06,1.002896030222291124e+00,7.428835414290979947e-03
2.459088354845994618e+06,9.795777778370778899e-01,7.413863315631732259e-03
2.459088361790478695e+06,9.838161928137116874e-01,7.417750369959616626e-03
2.459088368734961841e+06,1.003524509225200978e+00,7.418541630916848997e-03
2.459088375679444987e+06,9.941571304900033157e-01,7.418339191489657820e-03
2.459088382623927668e+06,9.763445626409216205e-01,7.413046893399686220e-03
2.459088389568410348e+06,1.013556332283550354e+00,7.421631812544226929e-03
2.459088396512892563e+06,9.623654203033070731e-01,7.407363933585191067e-03
2.459088403457374312e+06,1.000083294830601321e+00,7.430952743925310459e-03
2.459088410401856061e+06,1.000766291757998250e+00,7.413625441485887854e-03
2.459088417346337344e+06,9.759161361612025409e-01,7.412648576725001069e-03
2.459088424290818162e+06,9.969517310944371324e-01,7.421195984824940570e-03
2.459088431235298514e+06,1.001150297921968857e+00,7.424359889615325149e-03
2.459088438179779332e+06,9.836938379832255164e-01,7.411858110830782387e-03
2.459088445124259219e+06,9.933499802163102688e-01,7.420652371225421734e-03
2.459088452068739105e+06,9.916404507441431981e-01,7.415793028568152569e-03
2.459088459013218526e+06,9.993637181437670103e-01,7.415209733953829867e-03
2.459088465957697481e+06,1.005808628210351108e+00,7.412354576814702244e-03
2.459088472902176436e+06,1.003623386174807397e+00,7.421823735776648077e-03
2.459088479846655391e+06,1.015879054107392765e+00,7.418336317463370896e-03
2.459088486791133415e+06,9.832513456262771401e-01,7.409397606258392305e-03
2.459088493735611439e+06,9.912089491694183740e-01,7.405190644060321431e-03
2.459088500680089463e+06,1.000205620906420512e+00,7.424650641622580240e-03
2.459088507624567021e+06,9.797259288666279042e-01,7.415445718205111378e-03
2.459088514569044579e+06,9.789014636203553499e-01,7.403883157702274842e-03
2.459088521513521206e+06,9.849002554012387112e-01,7.410320165207972057e-03
2.459088528457997832e+06,1.001308653197370502e+00,7.414777070778056159e-03
2.459088535402474459e+06,9.856390975409535793e-01,7.411265445435381502e-03
2.459088542346950620e+06,9.952263414512263484e-01,7.415640686501095806e-03
2.459088549291426316e+06,9.841776510143062096e-01,7.408905579807805418e-03
2.459088556235902011e+06,1.024641682482610561e+00,7.426506652812516970e-03
2.459088563180377707e+06,9.915969217463317387e-01,7.410805607830856304e-03
2.459088570124852937e+06,9.890553040073799540e-01,7.423375025572410794e-03
2.459088577069327701e+06,1.009354590679228947e+00,7.404733116256558348e-03
2.459088584013802465e+06,1.009258341892904198e+00,7.428289994865079453e-03
2.459088590958276764e+06,9.918877380356518891e-01,7.414033218336642597e-03
2.459088597902751062e+06,1.021173057004286955e+00,7.427696982853891280e-03
2.459088604847225361e+06,1.029232200142625953e+00,7.442222070707006296e-03
2.459088611791698728e+06,9.966655162546099733e-01,7.411807671920195989e-03
2.459088618736172095e+06,9.843823249708073542e-01,7.414354440263924012e-03
2.459088625680645462e+06,1.012872715829055137e+00,7.416785329610294311e-03
2.459088632625118829e+06,1.003434660093537767e+00,7.414015721210393851e-03
