,index,Unnamed: 0,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Ext. catalog/s,Sector
83,83,93,30705,SN 2018htt,03:06:02.900,-15:36:41.58,SN Ia,0.008673,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ASAS-SN, ZTF",ATLAS; GaiaAlerts; ZTF,ZTF18acbvgqw,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","Lick-3m - KAST, P60 - SEDM",1,1,,17.5,r-ZTF,2018-10-31 08:28:19.000,ZTF_Bot1,,,4
85,85,103,30685,SN 2018hsz,03:56:20.719,-54:00:40.14,SN Ia,0.061709,FAIRALL 0761,0.061709,ASAS-SN,ASAS-SN,Global SN Project,ASAS-SN,ASASSN-18yx,ASASSN-3 - Paczynski,FTS - FLOYDS-S,1,1,,17.7,g-Sloan,2018-11-02 07:12:00.000,Stanek,,,4
86,86,106,30678,SN 2018hss,04:13:00.250,-53:59:31.27,SN Ia,0.043,FAIRALL 0765,0.043,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",Global SN Project,ASAS-SN; GaiaAlerts,ASASSN-18yv,"ASASSN-3 - Paczynski, Gaia - Gaia-photometric",FTS - FLOYDS-S,1,1,,17.9,g-Sloan,2018-11-02 07:12:00.000,Stanek,,,4
97,97,139,31236,SN 2018ioa,04:20:32.120,-38:57:35.89,SN Ia,0.041229,LCRS B041846.9-390434,0.041229,"ASAS-SN, ATLAS, GaiaAlerts","ASAS-SN, ATLAS, GaiaAlerts",ASAS-SN,ASAS-SN; ATLAS; GaiaAlerts,ASASSN-18zz,"ASASSN-3 - Paczynski, ATLAS1 - ACAM1, Gaia - Gaia-photometric",SALT - RSS,1,1,,17.5,g-Sloan,2018-11-18 06:28:48.000,Stanek,,,5
107,107,109,32132,SN 2018jwi,06:18:39.283,-54:28:14.84,SN Ia,0.017,2MASX J06183926-5428139,0.015457,ASAS-SN,ASAS-SN,ePESSTO,ASAS-SN,ASASSN-18abr,ASASSN-3 - Paczynski,ESO-NTT - EFOSC2-NTT,1,1,,17.1,g-Sloan,2018-12-14 02:38:24.000,Stanek,,,6
112,112,79,33711,SN 2019rm,05:53:13.270,-73:06:56.74,SN Ia,0.02,2MASX J05531375-7306576,,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",ePESSTO,ASAS-SN; GaiaAlerts,ASASSN-19at,"ASASSN-2 - Cassius, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,16.2,g-Sloan,2019-01-12 05:45:36.000,Stanek,,,7
123,123,42,35296,SN 2019bzl,12:37:11.427,-17:45:28.43,SN Ia,0.03,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19aamqlyl,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,17.89,r-ZTF,2019-03-16 08:02:32.000,ZTF_AMPEL_NEW,,,9
147,16,56,44515,SN 2019pkz,19:58:29.797,+61:13:09.13,SN Ia,0.05,VII Zw 923,,"ASAS-SN, ATLAS","ASAS-SN, ATLAS",SCAT,ASAS-SN; ATLAS,ASASSN-19wf,"ASASSN-1 - Brutus, ASASSN-4 - Leavitt, ATLAS1 - ACAM1",UH88 - SNIFS,1,1,,17.2,g-Sloan,2019-09-04 06:00:00.000,Vallely,,,15
149,18,74,44441,SN 2019pig,15:01:33.450,+49:06:34.27,SN Ia,0.02602,SDSS J150132.77+490633.3,0.02598,"ASAS-SN, ZTF, ATLAS, GaiaAlerts","ASAS-SN, ZTF, ATLAS, GaiaAlerts","SCAT, ZTF",ASAS-SN; ATLAS; GaiaAlerts; ZTF,ASASSN-19vp,"ASASSN-4 - Leavitt, ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",UH88 - SNIFS,1,1,,16.642,g-Sloan,2019-09-03 03:20:09.000,Bersier,,,15
174,43,68,45978,SN 2019roz,01:14:29.229,+37:02:57.80,SN Ia,0.03,2MASX J01142925+3702587,,"ALeRCE, ATLAS, Pan-STARRS1, ZTF","ZTF, ATLAS, Pan-STARRS1",Swope SN Survey,ALeRCE; ATLAS; Pan-STARRS1; ZTF,ZTF19acazbqm,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",Lick-3m - KAST,1,1,,17.7582,r-ZTF,2019-10-01 08:00:26.000,ALeRCE,,,16
217,86,53,49577,SN 2019wwa,12:52:48.160,+80:19:24.92,SN Ia,0.033,CGCG 365-006,0.032889,"ALeRCE, ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","None, ZTF",ATLAS; GaiaAlerts; ZTF,ZTF19acyiqnw,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","Lijiang-2.4m - YFOSC, LT - SPRAT",1,1,,17.1516,r-ZTF,2019-12-16 11:09:23.000,ALeRCE,,,19
223,92,98,49248,SN 2019wjl,07:57:12.278,+83:15:12.47,SN Ia,0.063,,,ZTF,ZTF,ZTF,ZTF,ZTF19acxmmys,P48 - ZTF-Cam,P200 - DBSP,1,1,,17.83,r-ZTF,2019-12-11 05:48:52.000,ZTF_AMPEL_NEW,,,19
225,94,123,49041,SN 2019wbm,02:11:52.067,+28:18:31.21,SN Ia,0.07,,,ZTF,ZTF,ZTF,ZTF,ZTF19abtcapa,P48 - ZTF-Cam,P60 - SEDM,1,1,,17.99,r-ZTF,2019-12-02 03:29:13.000,ZTF_AMPEL_NEW,,,19
